A,B,C,D,E,F,G,H,I,J,K,L,M,N
구분,DVD,0,100,200,300,400,500,600,700,800,900,ETC,합계
2024-04-30,,0,0,0,0,0,0,1,0,0,0,0,1
2024-05-13,,0,0,0,0,0,0,3,0,0,0,0,3
2024-05-14,,0,0,0,0,0,0,7,0,0,0,0,7
2024-05-20,,0,0,0,0,0,0,1,0,0,0,0,1
2024-05-21,,0,0,0,0,0,0,3,0,0,0,0,3
2024-05-22,,0,0,0,0,0,0,2,0,0,0,0,2
2024-05-28,,0,0,0,0,0,0,1,0,0,0,0,1
2024-05-30,,0,0,0,0,0,0,2,0,0,0,0,2
2024-06-14,,0,0,0,0,0,0,1,0,0,0,0,1
2024-07-22,,0,0,0,0,0,0,1,0,0,0,0,1
2024-09-05,,0,0,0,0,0,0,1,0,0,0,0,1
2024-09-25,,0,0,0,0,0,0,1,0,0,0,0,1
2024-10-31,,0,0,0,0,0,0,1,0,0,0,0,1
2024-11-15,,0,0,0,0,0,0,1,0,0,0,0,1
,총계,0,0,0,0,0,0,26,0,0,0,0,26
,비율(%),0,0,0,0,0,0,100,0,0,0,0,100
구분,동서 단행본,0,100,200,300,400,500,600,700,800,900,ETC,합계
2024-01-02,,0,4,0,3,0,0,0,0,0,0,0,7
2024-01-03,,0,0,0,2,0,0,0,0,0,0,0,2
2024-01-04,,1,1,0,2,0,3,0,0,1,0,0,8
2024-01-05,,0,0,0,1,0,0,0,0,2,0,0,3
2024-01-08,,0,0,0,0,0,0,0,0,2,0,0,2
2024-01-09,,0,0,0,0,0,0,0,0,4,0,0,4
2024-01-10,,0,1,0,0,0,0,0,0,0,0,0,1
2024-01-11,,5,0,0,0,0,3,0,0,1,0,0,9
2024-01-12,,0,0,0,0,0,3,0,0,2,1,0,6
2024-01-15,,0,1,0,0,1,0,0,0,3,0,0,5
2024-01-16,,3,0,0,0,0,3,0,2,0,0,0,8
2024-01-17,,0,0,0,3,2,0,0,0,0,0,0,5
2024-01-19,,0,0,0,1,0,0,0,0,1,0,0,2
2024-01-22,,8,1,0,0,1,0,0,0,1,0,0,11
2024-01-23,,0,0,0,0,0,0,0,0,1,0,0,1
2024-01-24,,1,0,0,0,0,0,0,0,3,0,0,4
2024-01-25,,0,1,0,0,1,0,0,0,0,0,0,2
2024-01-26,,5,0,0,0,0,0,0,0,1,0,0,6
2024-01-30,,0,1,0,1,0,0,0,0,1,1,0,4
2024-01-31,,0,0,0,1,0,0,0,0,0,0,0,1
2024-02-01,,1,0,0,0,1,0,0,0,0,0,0,2
2024-02-02,,0,1,0,0,0,1,0,0,2,0,0,4
2024-02-05,,0,0,0,1,0,0,0,0,0,0,0,1
2024-02-06,,0,0,0,0,0,0,0,0,3,0,0,3
2024-02-07,,0,0,0,0,0,1,0,0,0,4,0,5
2024-02-08,,1,0,0,0,0,0,0,10,2,0,0,13
2024-02-13,,1,0,0,0,0,1,0,0,1,0,0,3
2024-02-14,,0,1,0,0,0,0,0,0,1,0,0,2
2024-02-15,,4,1,0,0,0,1,0,0,0,0,0,6
2024-02-16,,0,0,0,1,0,0,0,0,1,0,0,2
2024-02-19,,1,0,0,0,0,2,0,0,6,0,0,9
2024-02-20,,1,1,0,0,0,1,0,0,4,0,0,7
2024-02-21,,2,0,0,0,0,0,0,1,5,0,0,8
2024-02-22,,0,0,0,0,1,0,0,0,0,0,0,1
2024-02-23,,0,0,0,1,0,0,0,4,0,0,0,5
2024-02-26,,1,1,0,2,0,0,0,1,3,1,0,9
2024-02-27,,1,0,0,0,0,0,0,0,0,0,0,1
2024-02-29,,0,0,0,0,2,0,0,0,0,0,0,2
2024-03-04,,8,1,0,19,1,12,3,0,8,0,0,52
2024-03-05,,9,5,0,7,1,4,0,0,18,1,0,45
2024-03-06,,15,7,3,2,0,7,0,0,13,0,1,48
2024-03-07,,30,1,0,3,1,4,0,3,2,0,0,44
2024-03-08,,5,0,0,5,0,2,0,0,10,0,0,22
2024-03-11,,8,4,0,5,0,5,0,0,15,0,0,37
2024-03-12,,9,2,0,3,0,3,0,2,16,0,0,35
2024-03-13,,12,0,0,2,0,3,0,0,5,0,0,22
2024-03-14,,8,0,0,1,0,1,0,3,4,1,0,18
2024-03-15,,5,1,0,0,3,4,0,0,0,0,0,13
2024-03-18,,5,5,0,1,0,3,0,1,8,0,0,23
2024-03-19,,9,4,0,6,0,7,0,1,5,0,0,32
2024-03-20,,3,2,0,3,1,1,0,0,3,3,0,16
2024-03-21,,8,6,0,0,0,3,4,0,0,0,0,21
2024-03-22,,3,1,0,6,0,1,0,0,3,0,0,14
2024-03-25,,0,1,0,0,1,7,0,1,8,1,0,19
2024-03-26,,5,1,0,4,0,4,0,0,6,4,0,24
2024-03-27,,6,1,0,3,1,3,0,0,15,0,1,30
2024-03-28,,3,2,0,0,0,4,0,1,3,4,0,17
2024-03-29,,6,0,0,2,0,3,0,0,4,0,0,15
2024-04-01,,3,2,0,3,0,0,0,0,8,0,0,16
2024-04-02,,9,4,0,1,0,9,0,0,11,3,0,37
2024-04-03,,1,5,0,2,0,1,0,0,3,0,0,12
2024-04-04,,7,2,0,4,0,3,0,1,2,0,0,19
2024-04-05,,1,3,0,2,0,0,0,0,2,1,0,9
2024-04-08,,2,2,0,1,0,2,0,0,1,0,0,8
2024-04-09,,4,2,0,0,0,2,0,0,10,0,0,18
2024-04-11,,3,2,1,1,2,6,0,0,2,0,0,17
2024-04-12,,2,0,0,2,1,3,0,2,3,0,0,13
2024-04-15,,0,0,1,4,0,2,0,5,5,0,0,17
2024-04-16,,1,0,0,1,0,0,0,0,7,0,0,9
2024-04-17,,3,1,0,2,2,3,0,3,5,0,0,19
2024-04-18,,1,1,0,0,0,1,0,0,7,0,0,10
2024-04-19,,3,1,0,1,1,4,0,0,5,0,0,15
2024-04-22,,2,0,0,0,2,7,0,0,0,0,0,11
2024-04-23,,0,1,0,0,0,2,0,0,10,1,0,14
2024-04-24,,0,1,0,3,0,0,0,0,1,0,0,5
2024-04-25,,3,0,0,2,0,0,0,0,1,5,0,11
2024-04-26,,2,1,0,1,0,1,1,0,2,0,0,8
2024-04-29,,0,2,0,0,0,2,0,1,5,1,0,11
2024-04-30,,7,0,0,0,1,6,0,2,11,0,0,27
2024-05-02,,3,3,0,0,0,7,0,0,3,6,0,22
2024-05-03,,1,0,0,2,0,4,0,0,3,0,1,11
2024-05-07,,6,3,0,4,0,10,0,0,8,0,0,31
2024-05-08,,5,4,0,7,8,14,0,1,11,2,0,52
2024-05-13,,4,10,0,2,0,15,0,2,12,6,0,51
2024-05-14,,3,4,0,2,0,11,0,0,6,0,0,26
2024-05-16,,6,14,0,0,0,7,0,0,15,0,0,42
2024-05-17,,2,0,0,1,0,3,0,0,12,0,0,18
2024-05-20,,2,2,0,0,0,6,1,0,14,0,0,25
2024-05-21,,4,6,0,2,0,3,0,2,16,0,0,33
2024-05-22,,1,1,0,1,0,5,0,0,7,0,0,15
2024-05-23,,4,6,0,0,0,7,0,0,5,0,0,22
2024-05-24,,0,0,0,0,0,0,0,0,6,1,0,7
2024-05-27,,3,3,0,7,0,5,0,2,12,0,0,32
2024-05-28,,0,3,0,0,0,7,0,0,3,0,0,13
2024-05-29,,1,0,0,0,0,5,0,0,3,0,0,9
2024-05-30,,1,1,0,5,0,1,0,0,8,1,0,17
2024-05-31,,1,0,0,0,0,5,0,1,6,0,0,13
2024-06-03,,0,0,0,7,1,3,0,0,13,0,0,24
2024-06-04,,1,1,0,7,0,1,0,0,4,0,0,14
2024-06-05,,0,1,0,0,0,5,0,1,5,0,0,12
2024-06-10,,0,1,0,11,1,8,0,0,11,2,0,34
2024-06-11,,0,3,0,3,1,11,0,0,0,0,0,18
2024-06-12,,1,0,0,0,2,7,0,0,2,0,0,12
2024-06-13,,0,1,0,6,0,0,0,0,3,0,0,10
2024-06-14,,0,1,0,4,0,3,0,3,1,0,0,12
2024-06-17,,2,6,0,5,2,12,0,0,2,0,0,29
2024-06-18,,0,0,0,1,0,1,0,0,7,1,0,10
2024-06-19,,0,1,0,6,0,5,0,0,2,1,0,15
2024-06-20,,1,0,0,0,0,7,0,1,1,0,0,10
2024-06-21,,0,1,0,0,0,4,0,1,2,0,0,8
2024-06-24,,0,10,0,0,0,4,0,0,2,0,0,16
2024-06-25,,0,0,0,0,0,9,1,0,0,0,0,10
2024-06-26,,3,0,0,1,0,1,0,0,0,0,0,5
2024-06-27,,0,1,0,1,0,4,0,0,5,0,0,11
2024-07-01,,3,0,0,1,0,0,0,0,3,1,0,8
2024-07-03,,2,0,0,0,0,0,0,0,0,0,0,2
2024-07-04,,2,0,0,0,0,1,0,0,0,0,0,3
